26018554687,-1.07637,-5.18272,34.5234
26038085937,-1.07637,-5.18272,34.5234
26061523437,-10.7138,8.18866,-3.82596
26080078125,-10.7138,8.18866,-3.82596
26104492187,-10.6026,8.26424,-3.80373
26124023437,-10.6026,8.26424,-3.80373
26148437500,-10.5569,8.21038,-3.78813
26166992187,-10.5569,8.21038,-3.78813
26185546875,-10.5569,8.21038,-3.78813
26208984375,-10.5509,8.23162,-3.7897
26228515625,-10.5509,8.23162,-3.7897
26251953125,-10.5885,8.30925,-3.77878
26271484375,-10.5885,8.30925,-3.77878
26375976562,-10.7585,8.4796,-3.79401
26400390625,-10.8487,8.60396,-3.79903
26419921875,-10.8487,8.60396,-3.79903
26438476562,-10.8487,8.60396,-3.79903
26460937500,-10.8782,8.63076,-3.80394
26479492187,-10.8782,8.63076,-3.80394
26502929687,-10.8959,8.71474,-3.80651
26522460937,-10.8959,8.71474,-3.80651
26541015625,-10.8959,8.71474,-3.80651
26563476562,-10.9128,8.79236,-3.80136
26583007812,-10.9128,8.79236,-3.80136
26605468750,-10.8855,8.80648,-3.8076
26625000000,-10.8855,8.80648,-3.8076
26649414062,-10.829,8.8085,-3.80328
26804687500,-10.7466,8.58793,-3.7683
26824218750,-10.7466,8.58793,-3.7683
26848632812,-10.7148,8.549,-3.74094
26869140625,-10.7148,8.549,-3.74094
26888671875,-10.7148,8.549,-3.74094
26911132812,-10.7028,8.59149,-3.74411
26929687500,-10.7028,8.59149,-3.74411
26954101562,-10.6888,8.60653,-3.73741
26973632812,-10.6888,8.60653,-3.73741
26998046875,-10.7246,8.69383,-3.6993
27017578125,-10.7246,8.69383,-3.6993
27036132812,-10.7246,8.69383,-3.6993
27060546875,-10.7813,8.88248,-3.70089
27079101562,-10.7813,8.88248,-3.70089
27180664062,-10.8206,9.11959,-3.72007
27204101562,-10.7982,9.09136,-3.72249
27224609375,-10.7982,9.09136,-3.72249
27309570312,-10.6856,8.89635,-3.72973
27329101562,-10.6856,8.89635,-3.72973
27351562500,-10.6704,8.70674,-3.72441
27370117187,-10.6704,8.70674,-3.72441
27388671875,-10.6704,8.70674,-3.72441
27411132812,-10.7234,8.65042,-3.70909
27429687500,-10.7234,8.65042,-3.70909
27452148437,-10.9374,8.62864,-3.66039
27470703125,-10.9374,8.62864,-3.66039
27488281250,-10.9374,8.62864,-3.66039
27581054687,-10.8909,8.73658,-3.64611
27605468750,-10.8584,8.80831,-3.64349
27625000000,-10.8584,8.80831,-3.64349
27648437500,-10.8329,8.71042,-3.63895
27667968750,-10.8329,8.71042,-3.63895
27686523437,-10.8329,8.71042,-3.63895
27709960937,-10.7379,8.58472,-3.65459
27728515625,-10.7379,8.58472,-3.65459
27752929687,-10.7148,8.71956,-3.65167
27772460937,-10.7148,8.71956,-3.65167
27790039062,-10.7148,8.71956,-3.65167
27814453125,-10.7322,8.78889,-3.65973
27832031250,-10.7322,8.78889,-3.65973
27855468750,-10.7492,8.69643,-3.65916
27959960937,-10.7973,8.81365,-3.67432
27978515625,-10.7973,8.81365,-3.67432
28001953125,-10.8505,8.88211,-3.68528
28020507812,-10.8505,8.88211,-3.68528
28040039062,-10.8505,8.88211,-3.68528
28063476562,-10.8559,8.83914,-3.68855
28082031250,-10.8559,8.83914,-3.68855
28113281250,-10.8555,8.83212,-3.68783
28132812500,-10.8555,8.83212,-3.68783
28155273437,-10.8409,8.82666,-3.67912
28174804687,-10.8409,8.82666,-3.67912
28192382812,-10.8409,8.82666,-3.67912
28215820312,-10.8899,8.81785,-3.68216
28366210937,-10.9942,8.94847,-3.68931
28385742187,-10.9942,8.94847,-3.68931
28408203125,-10.882,8.80397,-3.68015
28427734375,-10.882,8.80397,-3.68015
28452148437,-10.8988,8.86047,-3.68003
28470703125,-10.8988,8.86047,-3.68003
28490234375,-10.8988,8.86047,-3.68003
28512695312,-10.9057,8.86797,-3.67429
28531250000,-10.9057,8.86797,-3.67429
28555664062,-10.938,8.80389,-3.67058
28574218750,-10.938,8.80389,-3.67058
28592773437,-10.938,8.80389,-3.67058
28616210937,-10.9631,8.74001,-3.66628
28635742187,-10.9631,8.74001,-3.66628
28735351562,-11.107,8.77755,-3.68149
28759765625,-11.079,8.77758,-3.68628
28780273437,-11.079,8.77758,-3.68628
28865234375,-11.0214,8.89084,-3.69997
28883789062,-11.0214,8.89084,-3.69997
28906250000,-11.016,8.91143,-3.70863
28924804687,-11.016,8.91143,-3.70863
28942382812,-11.016,8.91143,-3.70863
28964843750,-10.987,8.9051,-3.70563
28982421875,-10.987,8.9051,-3.70563
29005859375,-10.9982,8.84857,-3.70092
29023437500,-10.9982,8.84857,-3.70092
29041992187,-10.9982,8.84857,-3.70092
29130859375,-10.9446,8.75195,-3.69418
29155273437,-10.9096,8.75338,-3.69156
29173828125,-10.9096,8.75338,-3.69156
29193359375,-10.9096,8.75338,-3.69156
29216796875,-10.9095,8.77454,-3.68653
29235351562,-10.9095,8.77454,-3.68653
29258789062,-10.8919,8.7129,-3.67206
29277343750,-10.8919,8.7129,-3.67206
29300781250,-10.8914,8.69239,-3.67006
29319335937,-10.8914,8.69239,-3.67006
29338867187,-10.8914,8.69239,-3.67006
29363281250,-10.8732,8.78495,-3.66354
29382812500,-10.8732,8.78495,-3.66354
29405273437,-10.8263,8.84234,-3.66537
29509765625,-10.8054,8.68866,-3.65585
29528320312,-10.8054,8.68866,-3.65585
29552734375,-10.7914,8.7037,-3.64914
29571289062,-10.7914,8.7037,-3.64914
29589843750,-10.7914,8.7037,-3.64914
29613281250,-10.7699,8.70422,-3.64748
